DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL	Phosphate	Silicate	Nitrate	Nitrite
P16N-S51-N12	P16N	51	B	20060315T23:46	-151.9986	28.9939	5596	21	19.9297	35.2698	TRACE METALS	3	12		0.01977856	9.0729620323938	0.02	0.53	0.06	0
P16N-S51-N11	P16N	51	B	20060315T23:46	-151.9986	28.9939	5596	40.2	19.9067	35.2697	TRACE METALS	3	11		0.01920852	7.37148691131146	0.02	0.5	0.05	0
P16N-S51-N08	P16N	51	B	20060315T23:44	-151.9986	28.9939	5597	107.2	19.2723	35.1755	TRACE METALS	3	8		0.01426011	8.10904430858773	0.04	0.83	0.03	0.02
P16N-S51-N06	P16N	51	B	20060315T23:42	-151.9986	28.9939	5599	179.3	16.7912	34.6576	TRACE METALS	3	6		0.01921957	4.8884398850165	0.18	2.24	1.47	0.06
P16N-S51-N05	P16N	51	B	20060315T23:41	-151.9986	28.9939	5600	226.3	14.2173	34.3915	TRACE METALS	3	5		0.03906084	3.1822169855897	0.47	5.01	5.62	0.01
P16N-S51-N04	P16N	51	B	20060315T23:39	-151.9986	28.9939	5596	278.5	12.2716	34.2382	TRACE METALS	3	4		0.0351234	1.98466296681895	0.68	8.35	9.05	0.01
P16N-S51-N03	P16N	51	B	20060315T23:33	-151.9986	28.9939	5508	553.5	6.5185	33.9976	TRACE METALS	3	3		0.03436748	1.43730764717088	2.09	50.13	30.08	0
P16N-S51-N01	P16N	51	B	20060315T23:24	-151.9986	28.9939	5596	959.1	3.7933	34.3497	TRACE METALS	3	1		0.0356979	0.8	3.1	117.27	43.6	0
