DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS[DBARS]	CTDTMP[ITS-90]	CTDSAL[PSS-78]	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL
P16N-S36-N12	P16N	36	B	20060227T19:52	-152.0018	13.9987	5613	20.8	25.905	34.3617	TRACE METALS	1	12		0.03835652	9.50227085010843
P16N-S36-N11	P16N	36	B	20060227T19:51	-152.0018	13.9987	5711	42	25.9004	34.365	TRACE METALS	1	11		0.0351611	10.1982662735141
P16N-S36-N08	P16N	36	B	20060227T19:49	-152.0018	13.9987	5697	109	20.3843	34.568	TRACE METALS	1	8		0.04272624	15.9617622503525
P16N-S36-N06	P16N	36	B	20060227T19:47	-152.0018	13.9987	5701	175.9	12.2249	34.1428	TRACE METALS	1	6		0.04413433	3.91355963181276
P16N-S36-N05	P16N	36	B	20060227T19:45	-152.0018	13.9987	5644	227.6	10.0324	34.3468	TRACE METALS	1	5		0.03646579	2.85039047103675
P16N-S36-N04	P16N	36	B	20060227T19:43	-152.0018	13.9987	5645	278.9	9.6163	34.464	TRACE METALS	1	4		0.07968228	3.32696186303451
P16N-S36-N03	P16N	36	B	20060227T19:38	-152.0018	13.9987	5652	556.8	6.9809	34.5198	TRACE METALS	1	3		0.01632642	1.7463543703137
P16N-S36-N01	P16N	36	B	20060227T19:29	-152.0018	13.9987	5661	959.3	4.5345	34.5347	TRACE METALS	1	1		0.01931139	1.18616293196277
