DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL
P16N-S72-N12	P16N	72	B	20060326T15:05	-151.9999	50.9998	4991	22.5	4.5731	32.665	TRACE METALS	2	12		0.07699242	25.6588861801802
P16N-S72-N11	P16N	72	B	20060326T15:03	-151.9999	50.9998	4940	42.1	4.5638	32.6655	TRACE METALS	2	11		0.09811531	21.6655127529836
P16N-S72-N08	P16N	72	B	20060326T15:00	-151.9999	50.9998	4956	108.5	4.1743	33.5434	TRACE METALS	2	8		0.02494337	8.32031394668221
P16N-S72-N06	P16N	72	B	20060326T14:57	-151.9999	50.9998	4956	178.3	4.0571	33.8143	TRACE METALS	2	6		0.01361624	5.02551363830399
P16N-S72-N05	P16N	72	B	20060326T14:56	-151.9999	50.9998	4950	227.4	3.9332	33.8603	TRACE METALS	2	5		0.01412315	4.71615452537993
P16N-S72-N04	P16N	72	B	20060326T14:54	-151.9999	50.9998	5010	278.6	3.9739	33.9534	TRACE METALS	2	4		0.01893947	3.81888734216319
P16N-S72-N03	P16N	72	B	20060326T14:47	-151.9999	50.9998	4970	555	3.5262	34.1734	TRACE METALS	2	3		0.02050909	2.10672298343916
P16N-S72-N01	P16N	72	B	20060326T14:38	-151.9999	50.9998	4972	959.6	2.8673	34.3764	TRACE METALS	2	1		0.02619167	1.57540499477894
