DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL	Phosphate	Silicate	Nitrate	Nitrite
P16S-S05-N12	P16S	5	B	20050111T00:00	-150	-18	-999	20			D (TRACE METAL)	-999	12	extracted 1/21/05 MM	0.01509984	6.92065259430627	0.17	0.85	0	0
P16S-S05-N11	P16S	5	B	20050111T00:00	-150	-18	-999	35			D (TRACE METAL)	-999	11	extracted 1/21/05 MM	0.01401434	7.11683154396543	0.14	0.64	0.12	0
P16S-S05-N10	P16S	5	B	20050111T00:00	-150	-18	-999	55			D (TRACE METAL)	-999	10	extracted 1/21/05 MM	0.01791702	8.28824623375715	0.14	0.64	0.02	0
P16S-S05-N08	P16S	5	B	20050111T00:00	-150	-18	-999	90			D (TRACE METAL)	-999	8	extracted 1/21/05 MM	0.02085346	7.13129345371595	0.16	0.64	0.13	0
P16S-S05-N15	P16S	5	B	20050111T00:00	-150	-18	-999	120			D (TRACE METAL)	-999	15	extracted 1/21/05 MM	0.0329147	7.74938290087927	0.19	0.64	-0.01	0
P16S-S05-N14	P16S	5	B	20050111T00:00	-150	-18	-999	170			D (TRACE METAL)	-999	14	extracted 1/21/05 MM	0.0253272	2.6386697507842	0.36	0.85	2.49	0.02
P16S-S05-N05	P16S	5	B	20050111T00:00	-150	-18	-999	220			D (TRACE METAL)	-999	5	extracted 1/21/05 MM	0.02756134	2.0991776392215	0.41	1.06	3.43	0.01
P16S-S05-N03	P16S	5	B	20050111T00:00	-150	-18	-999	440			D (TRACE METAL)	-999	3	extracted 1/21/05 MM	0.01133701	1.0931317435335	1.51	9.05	20	0
