DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL
P16N-S66-N11	P16N	66	B	20060324T00:55	-152.0004	45.0022	5274	37.5	7.0922	32.9221	TRACE METALS	3	11		0.03939413	17.7098660468753
P16N-S66-N08	P16N	66	B	20060324T00:51	-152.0004	45.0022	5275	105.3	7.0729	32.9213	TRACE METALS	3	8	FILTER FELL ON FLOOR	0.05106062	13.5341468010853
P16N-S66-N06	P16N	66	B	20060324T00:50	-152.0004	45.0022	5364	155.7	7.7128	33.7921	TRACE METALS	3	6		0.15311191	15.7820305992632
P16N-S66-N05	P16N	66	B	20060324T00:48	-152.0004	45.0022	5329	205.3	6.9927	33.8563	TRACE METALS	3	5		0.13680238	7.67015678659384
P16N-S66-N04	P16N	66	B	20060324T00:46	-152.0004	45.0022	5331	254.2	6.3475	33.8672	TRACE METALS	3	4		0.02587353	6.00515082923019
P16N-S66-N03	P16N	66	B	20060324T00:39	-152.0004	45.0022	5277	505.3	4.5122	34.0284	TRACE METALS	3	3		0.16034751	5.93912906732566
P16N-S66-N01	P16N	66	B	20060324T00:26	-152.0004	45.0022	5281	1013.6	3.0835	34.3435	TRACE METALS	3	1		0.01570357	3.6566624414835
