DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL	Phosphate	Silicate	Nitrate	Nitrite
P16N-S26-N12	P16N	26	B	20060223T23:55	-150.999	3.9999	5049	22.4	27.0191	34.8892	TRACE METALS	3	12		0.03773072	19.6919707842875	0.31	0.67	2.01	0.11
P16N-S26-N11	P16N	26	B	20060223T23:54	-150.999	3.9999	5049	37.6	26.9696	34.8899	TRACE METALS	3	11		0.02913354	18.397431871196	0.32	0.67	2.04	0.12
P16N-S26-N06	P16N	26	B	20060223T23:51	-150.999	3.9999	5049	152.9	12.9504	34.6101	TRACE METALS	3	6		0.12122958	6.35425902988046	1.67	19.2	23.79	0.01
P16N-S26-N05	P16N	26	B	20060223T23:49	-150.999	3.9999	5049	202.8	10.4547	34.6608	TRACE METALS	3	5		0.06518621	3.0339773397219	2.11	28.01	30.78	0.01
P16N-S26-N04	P16N	26	B	20060223T23:48	-150.999	3.9999	5049	254.6	9.7302	34.6629	TRACE METALS	3	4		0.04866234	3.61931766419409	2.16	29.87	31.98	0.01
P16N-S26-N03	P16N	26	B	20060223T23:42	-150.999	3.9999	5049	504.7	7.3402	34.5818	TRACE METALS	3	3		0.03927393	2.02613572841265	2.75	48.1	39.27	0.01
P16N-S26-N01	P16N	26	B	20060223T23:30	-150.999	3.9999	5049	1007.9	4.3898	34.5623	TRACE METALS	3	1		0.03270428	1.69794276453029	2.85	88.41	40.34	0.01
