DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS[DBARS]	CTDTMP[ITS-90]	CTDSAL[PSS-78]	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL
P16N-S21-N12	P16N	21	B	20060222T02:55	-150.9888	0.5002	3538	26.2	25.1392	35.2793	TRACE METALS	3	12		0.00099091	24.1364076840661
P16N-S21-N11	P16N	21	B	20060222T02:55	-150.9888	0.5002	3538	43.8	24.3702	35.1647	TRACE METALS	3	11		0.03436972	25.4749571478699
P16N-S21-N08	P16N	21	B	20060222T02:53	-150.9888	0.5002	3528	113.9	16.8726	34.9688	TRACE METALS	3	8		0.09516061	10.5113699057237
P16N-S21-N06	P16N	21	B	20060222T02:51	-150.9888	0.5002	3519	182.7	12.9556	34.9322	TRACE METALS	3	6		0.08592207	6.24737626386513
P16N-S21-N05	P16N	21	B	20060222T02:50	-150.9888	0.5002	3514	229.2	12.3524	34.8793	TRACE METALS	3	5		0.08158888	5.34956102933636
P16N-S21-N04	P16N	21	B	20060222T02:49	-150.9888	0.5002	3513	276.5	11.9957	34.8578	TRACE METALS	3	4		0.0552241	6.0681904502512
P16N-S21-N03	P16N	21	B	20060222T02:41	-150.9888	0.5002	3523	554.9	7.5466	34.5983	TRACE METALS	3	3		0.02851238	3.84251402852022
P16N-S21-N01	P16N	21	B	20060222T02:30	-150.9888	0.5002	3462	958.7	4.5302	34.5556	TRACE METALS	3	1		0.03542578	2.1795439337523
