DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL
P16N-S08-N12	P16N	8	B	20060217T07:51	-151	-10	4648	22	29.2148	35.9776	TRACE METALS	1	12		0.00943254	12.6113018968484
P16N-S08-N11	P16N	8	B	20060217T07:50	-151	-10	4648	36.7	29.1895	35.9801	TRACE METALS	1	11		0.01162166	15.6536883953671
P16N-S08-N08	P16N	8	B	20060217T07:48	-151	-10	4648	103.7	27.3231	36.3596	TRACE METALS	1	8		0.0124144	15.3607038720545
P16N-S08-N06	P16N	8	B	20060217T07:46	-151	-10	4648	153.8	23.6486	36.2918	TRACE METALS	1	6		0.02000135	6.46302796235488
P16N-S08-N05	P16N	8	B	20060217T07:44	-151	-10	4647	203.3	20.6876	35.8367	TRACE METALS	1	5		0.0491478	4.85727158351282
P16N-S08-N04	P16N	8	B	20060217T07:43	-151	-10	4646	252.6	16.4869	35.2401	TRACE METALS	1	4		0.01838687	3.58913900084859
P16N-S08-N03	P16N	8	B	20060217T07:37	-151	-10	4649	504.9	7.5063	34.5843	TRACE METALS	1	3		0.01091506	2.4021115759254
