Corrected_DNA_ID	Cruise	Station	Niskin	Latitude	Longitude	Pressure	Temperature	Salinity	Oxygen	Phosphate	Silicate	Nitrate	Nitrite	DNA.concentration.ng.uL	'Photic.Zone	'	Eukaryotic_Fraction_from_Trimmed_Sequences_(18S/16S+18S)
P16N-S21-N06	P16N	S21	N06	0.5002	-150.981	182.7	12.9556	34.9322	125	1.41	14.5	20.55	0.01	6.24737626386513	'Aphotic	'	0.08592207
P16N-S21-N08	P16N	S21	N08	0.5002	-150.981	113.9	16.8726	34.9688	133.9	0.91	8.08	13.07	0.04	10.5113699057237	'Aphotic	'	0.09516061
P16N-S21-N11	P16N	S21	N11	0.5002	-150.981	43.8	24.3702	35.1647	185.5	0.59	2.33	6.38	0.46	25.4749571478699	'Euphotic	'	0.03436972
P16N-S21-N12	P16N	S21	N12	0.5002	-150.981	26.2	25.1392	35.2793	185.8	0.56	1.94	5.84	0.44	24.1364076840661	'Euphotic	'	0.00099091
P16N-S26-N01	P16N	S26	N01	3.9999	-150.999	1007.9	4.3898	34.5623	69.2	2.85	88.41	40.34	0.01	1.69794276453029	'Aphotic	'	0.03270428
P16N-S26-N03	P16N	S26	N03	3.9999	-150.999	504.7	7.3402	34.5818	58.8	2.75	48.1	39.27	0.01	2.02613572841265	'Aphotic	'	0.03927393
P16N-S26-N04	P16N	S26	N04	3.9999	-150.999	254.6	9.7302	34.6629	61.1	2.16	29.87	31.98	0.01	3.61931766419409	'Aphotic	'	0.04866234
P16N-S26-N05	P16N	S26	N05	3.9999	-150.999	202.8	10.4547	34.6608	52.8	2.11	28.01	30.78	0.01	3.0339773397219	'Aphotic	'	0.06518621
P16N-S26-N06	P16N	S26	N06	3.9999	-150.999	152.9	12.9504	34.6101	86.4	1.67	19.2	23.79	0.01	6.35425902988046	'Aphotic	'	0.12122958
P16N-S26-N11	P16N	S26	N11	3.9999	-150.999	37.6	26.9696	34.8899	204.3	0.32	0.67	2.04	0.12	18.397431871196	'Euphotic	'	0.02913354
P16N-S26-N12	P16N	S26	N12	3.9999	-150.999	22.4	27.0191	34.8892	203.6	0.31	0.67	2.01	0.11	19.6919707842875	'Euphotic	'	0.03773072
P16N-S32-N01	P16N	S32	N01	10.0002	-151.94	962.2	4.7577	34.5486	38.9	3.03	87.62	42.45	0.01	1.61432271817712	'Aphotic	'	0.05089447
P16N-S32-N03	P16N	S32	N03	10.0002	-151.94	504.8	8.3341	34.595	21.4	2.82	45.75	36.63	0.01	1.98841239923077	'Aphotic	'	0.04238548
P16N-S32-N04	P16N	S32	N04	10.0002	-151.94	408.9	9.3462	34.6512	25.5	2.64	37.14	35.66	0.01	2.49579117672707	'Aphotic	'	0.04893133
P16N-S32-N05	P16N	S32	N05	10.0002	-151.94	254.8	10.5624	34.7089	20.4	2.32	28.87	33.58	0.01	4.09714650049792	'Aphotic	'	0.06529912
P16N-S32-N06	P16N	S32	N06	10.0002	-151.94	159	11.4585	34.7131	10.4	2.37	26.74	33.49	0.01	4.22540581971631	'Aphotic	'	0.10395013
P16N-S32-N08	P16N	S32	N08	10.0002	-151.94	107.3	12.9248	34.6261	121.9	2.13	19.94	28.23	0.03	4.94969374000843	'Euphotic	'	0.04384869
P16N-S32-N11	P16N	S32	N11	10.0002	-151.94	41.4	26.2071	34.5373	202.9	0.15	0.28	0.01	0.01	15.1463096178708	'Euphotic	'	0.06151451
P16N-S32-N12	P16N	S32	N12	10.0002	-151.94	22	26.7362	34.6508	202.7	0.15	0.01	0.02	0.01	17.5637462962764	'Euphotic	'	0.01563232
P16N-S36-N01	P16N	S36	N01	13.9988	-152.002	959.3	4.5345	34.5347	44.8	2.99	93.44	42.22	0.01	1.18616293196277	'Aphotic	'	0.01931139
P16N-S36-N03	P16N	S36	N03	13.9988	-152.002	556.8	6.9809	34.5198	32.9	2.86	58.58	39.13	0.01	1.7463543703137	'Aphotic	'	0.01632642
P16N-S36-N04	P16N	S36	N04	13.9988	-152.002	278.9	9.6163	34.464	87.5	2.38	34.07	31.56	0.01	3.32696186303451	'Aphotic	'	0.07968228
P16N-S36-N05	P16N	S36	N05	13.9988	-152.002	227.6	10.0324	34.3468	192.9	2.08	28.51	27.15	0.01	2.85039047103675	'Aphotic	'	0.03646579
P16N-S36-N06	P16N	S36	N06	13.9988	-152.002	175.9	12.2249	34.1428	201.6	1.22	12.3	16.03	0.02	3.91355963181276	'Aphotic	'	0.04413433
P16N-S36-N08	P16N	S36	N08	13.9988	-152.002	109	20.3843	34.568	224.3	0.27	1.2	0.38	0.02	15.9617622503525	'Euphotic	'	0.04272624
P16N-S36-N11	P16N	S36	N11	13.9988	-152.002	42	25.9004	34.365	206.1	0.13	0.07	0	0.01	10.1982662735141	'Euphotic	'	0.0351611
P16N-S36-N12	P16N	S36	N12	13.9988	-152.002	20.8	25.905	34.3617	206.4	0.13	0.04	0.01	0.01	9.50227085010843	'Euphotic	'	0.03835652
P16N-S40-N02	P16N	S40	N02	18	-152	275.2	14.9487	34.3731	26.6	0.84	11.46	12.46	0.01	3.637550606632	'Aphotic	'	0.04498777
P16N-S40-N03	P16N	S40	N03	18	-152	221.2	14.9487	34.3944	24.9	0.41	4.15	5.5	0.01	3.83748425129597	'Aphotic	'	0.05056361
