DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL	Phosphate	Silicate	Nitrate	Nitrite
P16N-S40-N10	P16N	40	B	20060301T19:30	-152	18	5079	24.4	23.7481	34.5319	TRACE METALS	2	10		0.04502562	12.4	0.09	0.29	0.02	0.01
P16N-S40-N09	P16N	40	B	20060301T19:29	-152	18	5079	47.1	23.7192	34.6042	TRACE METALS	2	9		0.03465315	12.3051142083222	0.09	0.32	0	0.01
P16N-S40-N06	P16N	40	B	20060301T19:27	-152	18	5078	114.1	23.5951	34.9536	TRACE METALS	2	6		0.04011138	13.4311555844013	0.05	0.36	0.05	0.01
P16N-S40-N05	P16N	40	B	20060301T19:26	-152	18	5079	143.6	21.4876	35.0373	TRACE METALS	2	5		0.03479181	10.8917468083077	0.07	0.62	0.07	0.07
P16N-S40-N04	P16N	40	B	20060301T19:25	-152	18	5079	179.1	19.2217	34.8762	TRACE METALS	2	4		0.08171141	6.20147954669384	0.17	1.42	1.89	0.02
P16N-S40-N03	P16N	40	B	20060301T19:23	-152	18	5079	221.2	14.9487	34.3944	TRACE METALS	2	3		0.05056361	3.83748425129597	0.41	4.15	5.5	0.01
P16N-S40-N02	P16N	40	B	20060301T19:23	-152	18	5079	275.2	14.9487	34.3731	TRACE METALS	2	2		0.04498777	3.637550606632	0.84	11.46	12.46	0.01
