DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL	Phosphate	Silicate	Nitrate	Nitrite
P16N-S47-N12	P16N	47	B	20060314T03:13	-152.0001	24.9995	5373	19.9	22.0173	35.2853	TRACE METALS	3	12		0.0125523	6.11	0.04	0	0	0
P16N-S47-N11	P16N	47	B	20060314T03:12	-152.0001	24.9995	5371	40.2	22.023	35.2847	TRACE METALS	3	11		0.00245428	5.66	0.04	0.1	0	0.01
P16N-S47-N08	P16N	47	B	20060314T03:10	-152.0001	24.9995	5360	106.4	21.9777	35.2906	TRACE METALS	3	8		0.00111997	2.62	0.06	0.2	0	0.01
P16N-S47-N06	P16N	47	B	20060314T03:08	-152.0001	24.9995	5360	177.4	19.2358	34.9562	TRACE METALS	3	6		0.00828062	5.09	0.18	1.46	1.86	0.03
P16N-S47-N05	P16N	47	B	20060314T03:06	-152.0001	24.9995	5361	228.7	16.8565	34.6948	TRACE METALS	3	5		0.01188486	3.12	0.28	2.83	3.32	0.02
P16N-S47-N03	P16N	47	B	20060314T02:59	-152.0001	24.9995	5345	553.6	7.0714	34.0345	TRACE METALS	3	3		0.00702415	1.35	-999	-999	-999	-999
P16N-S47-N01	P16N	47	B	20060314T02:49	-152.0001	24.9995	5361	957.4	4.1034	34.3907	TRACE METALS	3	1		0.020546	1.1	3.04	108.22	42.78	0
