DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL	Phosphate	Silicate	Nitrate	Nitrite
P16S-S33-N12	P16S	33	B	20050118T00:00	-150	-32	-999	20			TRACE METAL	-999	12	extracted 1/21/05 MM	0.0194464	5.49269620111411	0.08	0.47	0.06	0
P16S-S33-N11	P16S	33	B	20050118T00:00	-150	-32	-999	40			TRACE METAL	-999	11	extracted 1/21/05 MM	0.0365445	6.92505404509991	0.07	0.48	0.06	0
P16S-S33-N10	P16S	33	B	20050118T00:00	-150	-32	-999	65			TRACE METAL	-999	10	extracted 1/21/05 MM	0.04203303	10.3663597870377	0.07	0.48	0.06	0
P16S-S33-N09	P16S	33	B	20050118T00:00	-150	-32	-999	85			TRACE METAL	-999	9	extracted 1/21/05 MM	0.05219453	10.8863597593714	0.08	0.49	0.12	0
P16S-S33-N08	P16S	33	B	20050118T00:00	-150	-32	-999	105			TRACE METAL	-999	8	extracted 1/21/05 MM	0.03213808	8.58754488772433	0.09	0.69	0.06	0
P16S-S33-N15	P16S	33	B	20050118T00:00	-150	-32	-999	135			TRACE METAL	-999	15	extracted 1/21/05 MM	0.03842902	10.1972183208251	0.16	0.7	0.41	0.03
P16S-S33-N05	P16S	33	B	20050118T00:00	-150	-32	-999	235			TRACE METAL	-999	5	extracted 1/21/05 MM	0.03786866	3.36428035304917	0.51	1.51	5.91	0.01
P16S-S33-N03	P16S	33	B	20050118T00:00	-150	-32	-999	485			TRACE METAL	-999	3	extracted 1/21/05 MM	0.03163894	1.52321636394012	1.36	5.1	19.6	0
