DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS[DBARS]	CTDTMP[ITS-90]	CTDSAL[PSS-78]	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL
P16N-S32-N12	P16N	32	B	20060226T05:33	-151.9402	10.0002	5179	22	26.7362	34.6508	TRACE METALS	1	12		0.01563232	17.5637462962764
P16N-S32-N11	P16N	32	B	20060226T05:32	-151.9402	10.0002	5167	41.4	26.2071	34.5373	TRACE METALS	1	11		0.06151451	15.1463096178708
P16N-S32-N08	P16N	32	B	20060226T05:29	-151.9402	10.0002	5011	107.3	12.9248	34.6261	TRACE METALS	1	8		0.04384869	4.94969374000843
P16N-S32-N06	P16N	32	B	20060226T05:28	-151.9402	10.0002	4479	159	11.4585	34.7131	TRACE METALS	1	6		0.10395013	4.22540581971631
P16N-S32-N05	P16N	32	B	20060226T05:25	-151.9402	10.0002	5043	254.8	10.5624	34.7089	TRACE METALS	1	5		0.06529912	4.09714650049792
P16N-S32-N04	P16N	32	B	20060226T05:22	-151.9402	10.0002	5931	408.9	9.3462	34.6512	TRACE METALS	1	4		0.04893133	2.49579117672707
P16N-S32-N03	P16N	32	B	20060226T05:20	-151.9402	10.0002	5068	504.8	8.3341	34.595	TRACE METALS	1	3		0.04238548	1.98841239923077
P16N-S32-N01	P16N	32	B	20060226T05:09	-151.9402	10.0002	5143	962.2	4.7577	34.5486	TRACE METALS	1	1		0.05089447	1.61432271817712
