DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS[DBARS]	CTDTMP[ITS-90]	CTDSAL[PSS-78]	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL
P16N-S04-N12	P16N	4	B	20060215T21:05	-151.0009	-14.0002	4286	23.6	29.1665	36.1183	TRACE METALS	3	12	TM12/DNA1	0.01184275	15.9529601402101
P16N-S04-N11	P16N	4	B	20060215T21:04	-151.0009	-14.0002	4286	42.8	29.0668	36.1417	TRACE METALS	3	11	TM11/DNA2	0.00844153	13.1255966180281
P16N-S04-N08	P16N	4	B	20060215T21:02	-151.0009	-14.0002	4286	104.2	27.9785	36.2407	TRACE METALS	3	8	TM8/DNA3	0.01457887	17.4889283600657
P16N-S04-N06	P16N	4	B	20060215T21:01	-151.0009	-14.0002	4286	157.2	24.9995	36.3531	TRACE METALS	3	6	TM6/DNA4	0.02350207	10.1096164499367
P16N-S04-N05	P16N	4	B	20060215T20:59	-151.0009	-14.0002	4286	204.7	22.6075	36.1251	TRACE METALS	3	5	TM5/DNA5	0.02143735	4.4297405194515
P16N-S04-N04	P16N	4	B	20060215T20:57	-151.0009	-14.0002	4286	256.5	19.3434	35.626	TRACE METALS	3	4	TM4/DNA6	0.02243989	4.03804661811297
P16N-S04-N02	P16N	4	B	20060215T20:47	-151.0009	-14.0002	4286	708.3	5.5264	34.4619	TRACE METALS	3	2	TM2/DNA7	0.02724576	1.66021943534841
P16N-S04-N01	P16N	4	B	20060215T20:39	-151.0009	-14.0002	4286	1009.3	4.1326	34.5166	TRACE METALS	3	1	TM1/DNA8	0.00775224	0.965481456248766
