DNA_ID	CRUISE	STATION	TYPE	yyyy-mm-ddThh:mm	Longitude [degrees_east]	Latitude [degrees_north]	BOT DEPTH [METERS]	CTDPRS	CTDTMP	CTDSAL	CAST TYPE	CAST NO	NISKIN	comments	EUKfrac	DNA_extract_conc_ng-µL	Phosphate	Silicate	Nitrate	Nitrite
P16S-S104-N31	P16S	104	B	20050208T00:00	-150	-67.5007	-999	0			D	-999	31	extracted 2/17/05 MM	0.15193295	27.5937131956286	1.41	34.57	19.9	0.12
P16S-S104-N30	P16S	104	B	20050208T00:00	-150	-67.5007	-999	35			D	-999	30	extracted 2/17/05 MM	0.1237827	25.5464531485735	1.38	32.91	20.5	0.14
P16S-S104-N29	P16S	104	B	20050208T00:00	-150	-67.5007	-999	55			D	-999	29	extracted 2/17/05 MM	0.04059921	14.5233080024256	1.9	46.92	25.46	0.18
P16S-S104-N28	P16S	104	B	20050208T00:00	-150	-67.5007	-999	90			D	-999	28	extracted 2/17/05 MM	0.08024332	6.52116842278966	1.93	48.55	26.88	0.27
P16S-S104-N27	P16S	104	B	20050208T00:00	-150	-67.5007	-999	120			D	-999	27	extracted 2/17/05 MM	0.09355236	4.89825922369469	2.02	56.81	28.82	0.09
P16S-S104-N25	P16S	104	B	20050208T00:00	-150	-67.5007	-999	220			D	-999	25	extracted 2/17/05 MM	0.079263	3.97173770142448	2.25	94.85	32.55	0.02
P16S-S104-N23	P16S	104	B	20050208T00:00	-150	-67.5007	-999	320			D	-999	23	extracted 2/17/05 MM	0.09379536	1.70631608990092	2.23	100.04	32.5	0.01
P16S-S104-N21	P16S	104	B	20050208T00:00	-150	-67.5007	-999	420			D	-999	21	extracted 2/17/05 MM	0.17012757	2.53572911091381	2.23	103.97	32.45	0
